"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\app.module.ts", "TypeScript", 2, 0, 0, 2
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\controllers\index.ts", "TypeScript", 1, 1, 1, 3
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\controllers\userNew\usernew.controller.ts", "TypeScript", 44, 0, 10, 54
"Total", "-", 47, 1, 11, 59
