"filename", "language", "JSON", "TypeScript", "comment", "blank", "total"
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\package-lock.json", "JSON", 19, 0, 0, 0, 19
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\package.json", "JSON", 1, 0, 0, 0, 1
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\app.module.ts", "TypeScript", 0, 2, 0, 0, 2
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\core\dtos\users\users-new.dto.ts", "TypeScript", 0, 10, 0, 0, 10
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\services\index.ts", "TypeScript", 0, 18, 7, 7, 32
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\services\uses-cases\userNew\userNew-factory.service.ts", "TypeScript", 0, 56, 0, 5, 61
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\services\uses-cases\userNew\userNew.module.ts", "TypeScript", 0, 10, 0, 2, 12
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\services\uses-cases\userNew\userNew.service.ts", "TypeScript", 0, 84, 3, 14, 101
"Total", "-", 20, 180, 10, 28, 238
