"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\app.module.ts", "TypeScript", 0, 10, 0, 10
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\core\dtos\centralUnit\hubGroups.dto.ts", "TypeScript", 3, 0, 1, 4
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\core\entities\centralUnit\hubGroups.model.ts", "TypeScript", 1, 0, 1, 2
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\frameworks\data-services\mongo\model\centralUnit\hubGroups.model.ts", "TypeScript", 2, 0, 0, 2
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\operations\hubGroups\hubControl.ts", "TypeScript", 92, 6, 4, 102
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\services\uses-cases\centralUnit\hubGroup-factory.service.ts", "TypeScript", 2, 0, 0, 2
"Total", "-", 100, 16, 6, 122
